Cidade,sample_day,SO2,NO2,O3,CO,PM10,PM2.5,AQI_SO2,AQI_NO2,AQI_O3,AQI_CO,AQI_PM25,AQI_PM10,AQI,AQI_Qualidade
Almirante Tamandaré,2023-08-15,11.419038388939905,12.767865825439058,NA,NA,24.024931565477722,5.284581409002508,16,12,NA,NA,29,22,29,Boa
Almirante Tamandaré,2023-08-16,103.00583333333333,45.04416666666667,16.042395833333334,0.25197916666666664,14.649034237822491,3.247890048629717,113,42,15,3,18,14,113,Ruim para grupos sensíveis
Almirante Tamandaré,2023-08-17,79.71083333333333,45.06333333333333,18.0575,0.7265972222222222,79.73359638047138,13.547678872053872,103,43,17,8,59,63,103,Ruim para grupos sensíveis
Almirante Tamandaré,2023-08-18,72.54166666666667,43.931666666666665,19.5615625,0.6390189393939394,80.74780618686869,14.144994318181817,97,41,18,7,60,64,97,Moderada
Almirante Tamandaré,2023-08-19,69.34416666666667,31.769166666666667,24.773333333333333,0.30902083333333336,18.335486111111113,3.976701388888889,93,30,23,4,22,17,93,Moderada
Almirante Tamandaré,2023-08-20,72.7025,37.3975,19.689999999999998,0.41885416666666664,21.405243055555555,4.3888541666666665,97,35,18,5,24,20,97,Moderada
Almirante Tamandaré,2023-08-21,62.82333333333334,31.305,21.354479166666668,0.335625,14.268559027777778,3.2968229166666667,85,30,20,4,18,13,85,Moderada
Almirante Tamandaré,2023-08-22,89.51666666666667,44.81,16.750104166666667,0.5610416666666667,52.68429398148148,9.095439814814815,107,42,16,6,51,49,107,Ruim para grupos sensíveis
Almirante Tamandaré,2023-08-23,66.6325,27.3175,31.387604166666666,0.2265625,16.136631944444446,4.692152777777777,89,26,29,3,26,15,89,Moderada
Almirante Tamandaré,2023-08-24,64.65333333333334,22.365833333333335,31.672604166666666,0.24114583333333334,22.365528846153847,5.056057692307692,87,21,29,3,28,21,87,Moderada
Almirante Tamandaré,2023-08-25,83.45571428571428,44.63285714285714,28.211458333333333,0.4261210317460317,13.468897156084656,3.2937218915343913,104,42,26,5,18,12,104,Ruim para grupos sensíveis
Almirante Tamandaré,2023-08-26,17.995833333333334,13.876666666666667,16.464791666666667,0.0221875,2.151736111111111,0.4993402777777778,26,13,15,0,3,2,26,Boa
Almirante Tamandaré,2023-08-27,47.1325,21.791666666666668,20.836041666666667,0.012604166666666668,4.967013888888889,1.2189583333333334,65,21,19,0,7,5,65,Moderada
Almirante Tamandaré,2023-08-28,30.139166666666668,15.996666666666666,19.695,0.0321875,3.6869791666666667,1.0728472222222223,43,15,18,0,6,3,43,Boa
Almirante Tamandaré,2023-08-29,19.4325,19.030833333333334,17.914166666666667,0.05395833333333334,5.398854166666666,1.3611805555555556,28,18,17,1,8,5,28,Boa
Almirante Tamandaré,2023-08-30,41.58833333333333,20.7875,18.667708333333334,0.078125,18.047291666666666,1.9334722222222223,58,20,17,1,11,17,58,Moderada
Almirante Tamandaré,2023-08-31,129.08416666666668,49.77333333333333,23.3821875,0.279803841991342,43.678678150553154,8.946418650793651,125,47,22,3,50,40,125,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-01,108.94,51.69555555555556,28.023645833333333,0.48510416666666667,56.1530986952862,11.715008943602694,116,49,26,6,56,52,116,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-02,107.34166666666667,48.81916666666667,21.13479166666667,0.309375,26.261540404040403,6.031875,115,46,20,4,34,24,115,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-03,34.891666666666666,29.931666666666665,17.654374999999998,0.32197916666666665,13.107118055555555,4.869375,50,28,16,4,27,12,50,Boa
Almirante Tamandaré,2023-09-04,61.295833333333334,29.518333333333334,27.125208333333333,0.3841477272727273,11.384340277777778,3.1380839646464644,83,28,25,4,17,11,83,Moderada
Almirante Tamandaré,2023-09-05,69.16416666666666,31.072499999999998,31.653333333333336,0.133125,8.636322601010102,2.3293876262626263,93,29,29,2,13,8,93,Moderada
Almirante Tamandaré,2023-09-06,45.01166666666666,18.485,22.850520833333334,0.08658143939393939,5.529722222222222,1.4522569444444444,62,17,21,1,8,5,62,Moderada
Almirante Tamandaré,2023-09-07,19.4725,14.803333333333333,19.08802083333333,0.03395833333333333,4.2098611111111115,0.5909722222222222,28,14,18,0,3,4,28,Boa
Almirante Tamandaré,2023-09-08,17.0325,13.959166666666667,17.28,0.04895833333333333,9.076006944444444,2.1916319444444445,24,13,16,1,12,8,24,Boa
Almirante Tamandaré,2023-09-09,42.16,30.303333333333335,28.685312500000002,0.281875,11.971770833333334,2.1657291666666665,59,29,27,3,12,11,59,Moderada
Almirante Tamandaré,2023-09-10,28.00583333333333,18.1575,27.888437500000002,0.39739583333333334,35.64480654761905,5.154761904761905,40,17,26,5,29,33,40,Boa
Almirante Tamandaré,2023-09-11,85.04416666666667,37.13,16.582916666666666,0.12016369047619048,8.962534722222221,3.0308680555555556,105,35,15,1,17,8,105,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-12,112.82333333333334,50.15,24.262847222222224,0.7024652777777778,50.143819444444446,10.352090277777778,118,47,22,8,53,46,118,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-13,119.03333333333333,57.751666666666665,28.3075,0.5636875,48.4219375,10.034743055555555,120,55,26,6,53,45,120,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-14,103.06083333333333,45.384166666666665,29.7025,0.2378125,17.071597222222223,3.508159722222222,113,43,28,3,19,16,113,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-15,96.37333333333333,50.11333333333334,15.028125,0.2390719696969697,16.76012626262626,3.40907196969697,110,47,14,3,19,16,110,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-16,133.41181818181818,51.08,16.639195075757577,0.14901515151515152,15.298705808080808,3.5777083333333333,127,48,15,2,20,14,127,Ruim para grupos sensíveis
Almirante Tamandaré,2023-09-17,122.06833333333333,50.958333333333336,18.918229166666666,0.4753409090909091,30.833395007770008,6.038640005827506,122,48,18,5,34,29,122,Ruim para grupos sensíveis
